info: listening on 127.0.0.1:8080
info(Server): 127.0.0.1:59556 deinit in write
info(Server): 127.0.0.1:59564 deinit in write
info(Server): 127.0.0.1:59570 deinit in write
info(Server): 127.0.0.1:59586 deinit in write
info(Server): 127.0.0.1:59600 deinit in write
info(Server): 127.0.0.1:59610 deinit in write
info(Server): 127.0.0.1:59624 deinit in write
info(Server): 127.0.0.1:59626 deinit in write
info(Server): 127.0.0.1:59642 deinit in write
info(Server): 127.0.0.1:59658 deinit in write
info(Server): 127.0.0.1:59670 deinit in write
info(Server): 127.0.0.1:59672 deinit in write
info(Server): 127.0.0.1:59678 deinit in write
info(Server): 127.0.0.1:59682 deinit in write
info(Server): 127.0.0.1:59692 deinit in write
info(Server): 127.0.0.1:59694 deinit in write
info(Server): 127.0.0.1:59700 deinit in write
info(Server): 127.0.0.1:59706 deinit in write
info(Server): 127.0.0.1:59718 deinit in write
info(Server): 127.0.0.1:59720 deinit in write
info(Server): 127.0.0.1:59734 deinit in write
info(Server): 127.0.0.1:59740 deinit in write
info(Server): 127.0.0.1:59750 deinit in write
info(Server): 127.0.0.1:59766 deinit in write
info(Server): 127.0.0.1:59778 deinit in write
info(Server): 127.0.0.1:59780 deinit in write
info(Server): 127.0.0.1:59788 deinit in write
info(Server): 127.0.0.1:59804 deinit in write
info(Server): 127.0.0.1:59808 deinit in write
info(Server): 127.0.0.1:59818 deinit in write
info(Server): 127.0.0.1:59828 deinit in write
info(Server): 127.0.0.1:59832 deinit in write
info(Server): 127.0.0.1:59846 deinit in write
info(Server): 127.0.0.1:59858 deinit in write
info(Server): 127.0.0.1:59874 deinit in write
info(Server): 127.0.0.1:59878 deinit in write
info(Server): 127.0.0.1:59894 deinit in write
info(Server): 127.0.0.1:59908 deinit in write
info(Server): 127.0.0.1:59914 deinit in write
info(Server): 127.0.0.1:59922 deinit in write
info(Server): 127.0.0.1:59930 deinit in write
info(Server): 127.0.0.1:59936 deinit in write
info(Server): 127.0.0.1:59944 deinit in write
info(Server): 127.0.0.1:59948 deinit in write
info(Server): 127.0.0.1:59954 deinit in write
info(Server): 127.0.0.1:59966 deinit in write
info(Server): 127.0.0.1:59978 deinit in write
info(Server): 127.0.0.1:59980 deinit in write
info(Server): 127.0.0.1:59988 deinit in write
info(Server): 127.0.0.1:59994 deinit in write
info(Server): 127.0.0.1:60010 deinit in write
info(Server): 127.0.0.1:60018 deinit in write
info(Server): 127.0.0.1:60026 deinit in write
info(Server): 127.0.0.1:60034 deinit in write
info(Server): 127.0.0.1:60048 deinit in write
info(Server): 127.0.0.1:60056 deinit in write
info(Server): 127.0.0.1:60072 deinit in write
info(Server): 127.0.0.1:60078 deinit in write
info(Server): 127.0.0.1:60080 deinit in write
info(Server): 127.0.0.1:60084 deinit in write
info(Server): 127.0.0.1:60090 deinit in write
info(Server): 127.0.0.1:60098 deinit in write
info(Server): 127.0.0.1:60110 deinit in write
info(Server): 127.0.0.1:60118 deinit in write
info(Server): 127.0.0.1:59290 deinit in write
info(Server): 127.0.0.1:59292 deinit in write
info(Server): 127.0.0.1:59282 deinit in write
